Date,Province_Name,Latitude,Longitude,Temperature,Precipitation,Price
2022-01-01,Aceh,4.3685491,97.0253024,18.84,32.27,10250.0
2022-01-02,Aceh,4.3685491,97.0253024,19.11,8.0,10250.0
2022-01-03,Aceh,4.3685491,97.0253024,19.1,8.89,10250.0
2022-01-04,Aceh,4.3685491,97.0253024,19.81,19.47,10300.0
2022-01-05,Aceh,4.3685491,97.0253024,20.35,0.84,10350.0
2022-01-06,Aceh,4.3685491,97.0253024,20.46,0.07,10350.0
2022-01-07,Aceh,4.3685491,97.0253024,19.84,0.07,10400.0
2022-01-08,Aceh,4.3685491,97.0253024,19.74,2.2,10400.0
2022-01-09,Aceh,4.3685491,97.0253024,19.75,8.51,10400.0
2022-01-10,Aceh,4.3685491,97.0253024,19.88,15.66,10400.0
2022-01-11,Aceh,4.3685491,97.0253024,19.74,3.8,10350.0
2022-01-12,Aceh,4.3685491,97.0253024,20.57,5.31,10350.0
2022-01-13,Aceh,4.3685491,97.0253024,19.84,2.53,10350.0
2022-01-14,Aceh,4.3685491,97.0253024,18.9,0.03,10350.0
2022-01-17,Aceh,4.3685491,97.0253024,19.32,10.91,10350.0
2022-01-18,Aceh,4.3685491,97.0253024,19.44,5.28,10350.0
2022-01-19,Aceh,4.3685491,97.0253024,19.65,1.86,10350.0
2022-01-20,Aceh,4.3685491,97.0253024,19.99,0.1,10400.0
2022-01-21,Aceh,4.3685491,97.0253024,20.12,0.29,10400.0
2022-01-22,Aceh,4.3685491,97.0253024,19.95,0.08,10400.0
2022-01-24,Aceh,4.3685491,97.0253024,19.51,35.39,10350.0
2022-01-25,Aceh,4.3685491,97.0253024,19.65,7.73,10400.0
2022-01-26,Aceh,4.3685491,97.0253024,20.31,0.0,10400.0
2022-01-27,Aceh,4.3685491,97.0253024,20.89,0.0,10400.0
2022-01-28,Aceh,4.3685491,97.0253024,20.86,0.0,10400.0
2022-01-29,Aceh,4.3685491,97.0253024,20.74,0.0,10400.0
2022-01-30,Aceh,4.3685491,97.0253024,20.37,0.02,10400.0
