Province_Name,Current_Price,Predicted_Price_7d,Price_Difference
Aceh,15300.0,15439.667,139.6669921875
Bali,15400.0,15476.408,76.408203125
Banten,14950.0,15005.849,55.8486328125
Bengkulu,15450.0,15747.8545,297.8544921875
DI Yogyakarta,14200.0,14707.633,507.6328125
DKI Jakarta,16550.0,16263.59,-286.41015625
Gorontalo,15350.0,16732.246,1382.24609375
Jambi,15400.0,15394.987,-5.0126953125
Jawa Barat,14900.0,14953.864,53.8642578125
Jawa Tengah,15150.0,15462.404,312.404296875
Jawa Timur,14600.0,14914.694,314.6943359375
Kalimantan Barat,16300.0,16471.418,171.41796875
Kalimantan Selatan,17750.0,17648.928,-101.072265625
Kalimantan Tengah,17750.0,17833.658,83.658203125
Kalimantan Timur,16050.0,16038.868,-11.1318359375
Kalimantan Utara,17250.0,17256.508,6.5078125
Kepulauan Bangka Belitung,15150.0,15156.517,6.5166015625
Kepulauan Riau,15450.0,15184.362,-265.6376953125
Lampung,14850.0,14696.962,-153.0380859375
Maluku,16700.0,16772.521,72.521484375
Maluku Utara,17300.0,17363.098,63.09765625
Nusa Tenggara Barat,13850.0,13866.44,16.4404296875
Nusa Tenggara Timur,15300.0,15322.166,22.166015625
Papua,19050.0,18857.816,-192.18359375
Papua Barat,16800.0,16763.965,-36.03515625
Riau,16350.0,16280.369,-69.630859375
Sulawesi Barat,14350.0,14500.631,150.630859375
Sulawesi Selatan,14250.0,14292.901,42.9013671875
Sulawesi Tengah,15300.0,15841.604,541.603515625
Sulawesi Tenggara,15450.0,15499.064,49.064453125
Sulawesi Utara,15000.0,15305.963,305.962890625
Sumatera Barat,18300.0,17451.482,-848.517578125
Sumatera Selatan,15650.0,15456.508,-193.4921875
Sumatera Utara,14900.0,14938.957,38.95703125
