Date_Param,Province_Name,Temperature,Precipitation
2022-01-01,Aceh,18.84,32.27
2022-01-02,Aceh,19.11,8.0
2022-01-03,Aceh,19.1,8.89
2022-01-04,Aceh,19.81,19.47
2022-01-05,Aceh,20.35,0.84
2022-01-06,Aceh,20.46,0.07
2022-01-07,Aceh,19.84,0.07
2022-01-08,Aceh,19.74,2.2
2022-01-09,Aceh,19.75,8.51
2022-01-10,Aceh,19.88,15.66
2022-01-11,Aceh,19.74,3.8
2022-01-12,Aceh,20.57,5.31
2022-01-13,Aceh,19.84,2.53
2022-01-14,Aceh,18.9,0.03
2022-01-15,Aceh,20.33,0.0
2022-01-16,Aceh,19.83,0.39
2022-01-17,Aceh,19.32,10.91
2022-01-18,Aceh,19.44,5.28
2022-01-19,Aceh,19.65,1.86
2022-01-20,Aceh,19.99,0.1
2022-01-21,Aceh,20.12,0.29
2022-01-22,Aceh,19.95,0.08
2022-01-23,Aceh,19.63,2.32
2022-01-24,Aceh,19.51,35.39
2022-01-25,Aceh,19.65,7.73
2022-01-26,Aceh,20.31,0.0
2022-01-27,Aceh,20.89,0.0
2022-01-28,Aceh,20.86,0.0
2022-01-29,Aceh,20.74,0.0
2022-01-30,Aceh,20.37,0.02
2022-01-31,Aceh,20.76,0.08
2022-02-01,Aceh,20.7,0.11
2022-02-02,Aceh,20.35,0.17
2022-02-03,Aceh,20.63,0.13
2022-02-04,Aceh,20.46,0.55
2022-02-05,Aceh,19.9,0.09
2022-02-06,Aceh,19.3,35.3
2022-02-07,Aceh,18.62,3.21
2022-02-08,Aceh,18.86,0.23
2022-02-09,Aceh,18.79,19.67
2022-02-10,Aceh,18.84,7.04
2022-02-11,Aceh,19.45,18.52
2022-02-12,Aceh,19.96,3.92
2022-02-13,Aceh,19.94,5.65
2022-02-14,Aceh,20.42,9.86
2022-02-15,Aceh,20.13,95.02
2022-02-16,Aceh,19.59,15.51
2022-02-17,Aceh,19.23,2.27
2022-02-18,Aceh,19.31,9.8
2022-02-19,Aceh,18.99,20.82
2022-02-20,Aceh,19.76,0.0
2022-02-21,Aceh,19.98,0.0
2022-02-22,Aceh,20.4,2.64
2022-02-23,Aceh,20.03,1.69
2022-02-24,Aceh,19.09,1.24
2022-02-25,Aceh,18.32,11.23
2022-02-26,Aceh,19.01,48.24
2022-02-27,Aceh,19.36,42.4
2022-02-28,Aceh,19.51,27.73
2022-03-01,Aceh,19.59,7.36
2022-03-02,Aceh,20.22,0.25
2022-03-03,Aceh,19.83,0.13
2022-03-04,Aceh,20.11,2.59
2022-03-05,Aceh,18.89,7.07
2022-03-06,Aceh,19.65,1.03
2022-03-07,Aceh,19.56,0.24
2022-03-08,Aceh,19.35,6.48
2022-03-09,Aceh,20.29,31.87
2022-03-10,Aceh,19.31,23.26
2022-03-11,Aceh,20.18,6.49
2022-03-12,Aceh,20.87,0.81
2022-03-13,Aceh,21.02,5.8
2022-03-14,Aceh,20.05,4.26
2022-03-15,Aceh,20.34,11.96
2022-03-16,Aceh,20.49,11.16
2022-03-17,Aceh,20.31,33.95
2022-03-18,Aceh,20.26,9.23
2022-03-19,Aceh,19.01,14.75
2022-03-20,Aceh,18.57,5.93
2022-03-21,Aceh,17.99,0.67
2022-03-22,Aceh,18.76,0.09
2022-03-23,Aceh,19.52,1.62
2022-03-24,Aceh,20.1,1.92
2022-03-25,Aceh,20.49,0.08
2022-03-26,Aceh,20.49,0.85
2022-03-27,Aceh,21.28,0.04
2022-03-28,Aceh,20.89,0.0
2022-03-29,Aceh,21.09,0.06
2022-03-30,Aceh,20.96,0.58
2022-03-31,Aceh,19.87,0.51
2022-04-01,Aceh,20.26,5.5
2022-04-02,Aceh,19.76,29.31
2022-04-03,Aceh,18.98,26.38
2022-04-04,Aceh,19.39,2.36
2022-04-05,Aceh,19.33,19.32
2022-04-06,Aceh,19.82,2.94
2022-04-07,Aceh,19.77,2.48
2022-04-08,Aceh,19.99,1.83
2022-04-09,Aceh,19.8,0.21
2022-04-10,Aceh,21.08,4.21
2022-04-11,Aceh,19.95,1.96
2022-04-12,Aceh,20.12,0.0
2022-04-13,Aceh,20.57,0.0
2022-04-14,Aceh,21.3,0.11
2022-04-15,Aceh,21.28,0.02
2022-04-16,Aceh,21.29,0.64
2022-04-17,Aceh,20.88,1.05
2022-04-18,Aceh,20.85,0.41
2022-04-19,Aceh,21.05,7.41
2022-04-20,Aceh,20.1,25.65
2022-04-21,Aceh,20.7,2.91
2022-04-22,Aceh,20.97,0.11
2022-04-23,Aceh,20.5,0.13
2022-04-24,Aceh,21.27,0.02
2022-04-25,Aceh,20.96,5.42
2022-04-26,Aceh,19.57,12.65
2022-04-27,Aceh,20.79,0.01
2022-04-28,Aceh,21.61,0.01
2022-04-29,Aceh,20.73,0.99
2022-04-30,Aceh,20.46,0.29
2022-05-01,Aceh,20.5,0.69
2022-05-02,Aceh,20.24,13.84
2022-05-03,Aceh,19.44,21.46
2022-05-04,Aceh,19.73,21.08
2022-05-05,Aceh,20.06,36.09
2022-05-06,Aceh,20.18,15.48
2022-05-07,Aceh,20.37,7.37
2022-05-08,Aceh,20.54,2.51
2022-05-09,Aceh,20.79,0.15
2022-05-10,Aceh,20.71,2.73
2022-05-11,Aceh,19.86,2.94
2022-05-12,Aceh,19.63,0.85
2022-05-13,Aceh,19.84,0.09
2022-05-14,Aceh,20.9,0.1
2022-05-15,Aceh,20.68,0.19
2022-05-16,Aceh,20.02,0.04
2022-05-17,Aceh,20.78,0.0
2022-05-18,Aceh,20.8,0.0
2022-05-19,Aceh,20.71,0.0
2022-05-20,Aceh,20.0,0.0
2022-05-21,Aceh,19.78,4.22
2022-05-22,Aceh,19.81,0.85
2022-05-23,Aceh,20.11,0.2
2022-05-24,Aceh,20.23,0.62
2022-05-25,Aceh,19.14,0.41
2022-05-26,Aceh,19.04,0.0
2022-05-27,Aceh,18.93,0.1
2022-05-28,Aceh,18.92,14.87
2022-05-29,Aceh,18.67,0.59
2022-05-30,Aceh,19.24,0.38
2022-05-31,Aceh,19.21,3.25
2022-06-01,Aceh,17.52,42.4
2022-06-02,Aceh,17.79,7.16
2022-06-03,Aceh,18.31,3.68
2022-06-04,Aceh,18.78,0.03
2022-06-05,Aceh,19.6,17.85
2022-06-06,Aceh,18.31,18.57
2022-06-07,Aceh,18.37,7.3
2022-06-08,Aceh,19.58,0.01
2022-06-09,Aceh,20.25,11.65
2022-06-10,Aceh,19.38,7.42
2022-06-11,Aceh,19.88,24.23
2022-06-12,Aceh,20.24,0.83
2022-06-13,Aceh,20.32,16.63
2022-06-14,Aceh,19.71,23.96
2022-06-15,Aceh,19.07,52.46
2022-06-16,Aceh,19.26,3.09
2022-06-17,Aceh,20.45,0.29
2022-06-18,Aceh,19.97,14.5
2022-06-19,Aceh,19.67,3.07
2022-06-20,Aceh,20.29,10.12
2022-06-21,Aceh,19.39,12.67
2022-06-22,Aceh,19.12,13.29
2022-06-23,Aceh,19.24,43.41
2022-06-24,Aceh,19.2,3.89
2022-06-25,Aceh,19.32,0.09
2022-06-26,Aceh,18.49,0.1
2022-06-27,Aceh,19.02,1.85
2022-06-28,Aceh,18.76,0.62
2022-06-29,Aceh,18.94,1.74
2022-06-30,Aceh,18.38,0.44
2022-07-01,Aceh,18.02,12.87
2022-07-02,Aceh,19.09,14.01
2022-07-03,Aceh,17.69,7.38
2022-07-04,Aceh,18.55,6.31
2022-07-05,Aceh,18.4,0.19
2022-07-06,Aceh,18.53,0.0
2022-07-07,Aceh,19.24,0.95
2022-07-08,Aceh,18.72,2.09
2022-07-09,Aceh,18.0,3.47
2022-07-10,Aceh,18.68,0.51
2022-07-11,Aceh,19.01,1.12
2022-07-12,Aceh,18.68,1.08
2022-07-13,Aceh,19.23,0.02
2022-07-14,Aceh,19.76,0.06
2022-07-15,Aceh,19.5,2.61
